time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-16 00:00:00+00:00,,,1.0,1.0
2023-02-17 00:00:00+00:00,,,4.0,4.0
2023-02-18 00:00:00+00:00,,,1.0,1.0
2023-02-20 00:00:00+00:00,,,3.0,2.0
2023-02-22 00:00:00+00:00,,,4.0,4.0
2023-02-23 00:00:00+00:00,1.0,1.0,4.0,1.0
2023-02-24 00:00:00+00:00,,,16.0,4.0
2023-02-27 00:00:00+00:00,,,2.0,1.0
2023-02-28 00:00:00+00:00,,,4.0,1.0
2023-03-01 00:00:00+00:00,2.0,1.0,,
2023-03-02 00:00:00+00:00,4.0,2.0,14.0,1.0
